"bill_id","bill_title","year","state","final_raw","introduced_raw","final_html_code_type","final_text","introduced_text","final_amended_out","final_same_as_introduced","mime_type_final","filetype","url_text_final","file_name"
17 SECTION 2.1.  THE ACT IS AMENDED BY ADDING AN ARTICLE TO 18 READ:
ARTICLE XVI-A
ELECTION INTEGRITY GRANT PROGRAM
SECTION 1601-A.  DEFINITIONS.
THE FOLLOWING WORDS AND PHRASES WHEN USED IN THIS ARTICLE 23 SHALL HAVE THE MEANINGS GIVEN TO THEM IN THIS SECTION UNLESS THE 24 CONTEXT CLEARLY INDICATES OTHERWISE:
25""ACCOUNT.""  THE ELECTION INTEGRITY RESTRICTED ACCOUNT 26 ESTABLISHED UNDER SECTION 1732-A.2 OF THE  ACT OF APRIL 9, 1929   (P.L.343, NO.176), KNOWN AS THE FISCAL CODE  .
""DEPARTMENT.""  THE DEPARTMENT OF COMMUNITY AND ECONOMIC DEVELOPMENT OF THE COMMONWEALTH.
""PROGRAM.""  THE ELECTION INTEGRITY GRANT PROGRAM ESTABLISHED 
UNDER SECTION 1602-A.
SECTION 1602-A.  FUNDING FOR ELECTIONS.
(A)  ELECTION INTEGRITY GRANT PROGRAM.--THE ELECTION 
INTEGRITY GRANT PROGRAM IS ESTABLISHED WITHIN THE DEPARTMENT TO  PROVIDE  GRANTS  TO COUNTIES FOR THE ADMINISTRATION OF ELECTIONS. 
6 (B)  A  PPROPRIATION.--MONEY IN THE ACCOUNT IS APPROPRIATED TO  7 THE DEPARTMENT ON A CONTINUING BASIS FOR THE PURPOSES UNDER THIS 8 ARTICLE.
(C)  (RESERVED).
(D)  APPLICATION.--THE FOLLOWING SHALL APPLY:
(1)  BY AUGUST 1, 2022, AND EACH AUGUST 1 THEREAFTER, THE 
DEPARTMENT SHALL BEGIN ACCEPTING APPLICATIONS FROM COUNTIES 
SEEKING GRANT   MONEY UNDER THIS SECTION. THE DEPARTMENT SHALL  
DEVELOP A FORM FOR A COUNTY TO CERTIFY THAT THE COUNTY 
INTENDS TO USE GRANT   MONEY FOR AN ELIGIBLE USE UNDER  16SUBSECTION (F).
17(2)  IF A COUNTY IS SEEKING GRANTS UNDER THIS SECTION, 18THE COUNTY SHALL APPLY TO THE DEPARTMENT NO LATER THAN AUGUST 1915, 2022, AND EACH AUGUST 15 THEREAFTER.
(E)  DISTRIBUTION.--EACH COUNTY SHALL BE ENTITLED TO AN 
ALLOTMENT EQUAL TO THE TOTAL AMOUNT APPROPRIATED TO THE PROGRAM 
UNDER THIS SECTION MULTIPLIED BY THE QUOTIENT OF THE COUNTY'S 
NUMBER OF REGISTERED VOTERS DIVIDED BY THE TOTAL NUMBER OF 
REGISTERED VOTERS IN ALL COUNTIES. FOR THE PURPOSES OF THIS 
SUBSECTION, THE DEPARTMENT SHALL USE THE COUNTY'S TOTAL NUMBER 26 OF REGISTERED VOTERS FOR THE MOST RECENT PRIMARY ELECTION AS 
CERTIFIED TO THE SECRETARY OF THE COMMONWEALTH UNDER SECTION 302(M).
 (F)  ELIGIBLE USES.--A COUNTY SHALL USE GRANT   MONEY AWARDED  UNDER THIS SECTION FOR ANY OF THE FOLLOWING PURPOSES:
PAYMENT OF STAFF NEEDED TO PRE-CANVASS AND CANVASS 
MAIL-IN BALLOTS AND ABSENTEE BALLOTS.
PHYSICAL SECURITY AND TRANSPARENCY COSTS FOR 
CENTRALIZED PRE-CANVASSING AND CANVASSING.
POST-ELECTION PROCEDURES REQUIRED UNDER THIS ACT.6(4)  LIST MAINTENANCE ACTIVITIES UNDER 25 PA.C.S. § 71901(B)(1) AND (3) (RELATING TO REMOVAL OF ELECTORS).
(5)  THE PRINTING OF BALLOTS.
(6)  TRAINING COSTS FOR DISTRICT ELECTION OFFICIALS.
(7)  PAYMENT OF STAFF AT POLLING PLACES ON ELECTION DAY.
(8)  SECURE PREPARATION, TRANSPORTATION, STORAGE AND 12MANAGEMENT OF VOTING APPARATUSES, TABULATION EQUIPMENT AND 13REQUIRED POLLING PLACE MATERIALS.
14(9)  COSTS OF COUNTY BOARD OF ELECTION DUTIES RELATED TO 15PROCESSING OF VOTER REGISTRATION APPLICATIONS.
(G)  PAYMENTS.--THE DEPARTMENT SHALL MAKE PAYMENTS TO 
COUNTIES THAT APPLIED FOR A GRANT UNDER THIS SECTION NO LATER 18 THAN SEPTEMBER 1, 2022, AND EACH SEPTEMBER 1 THEREAFTER.
(H)  REPORTING.--NO LATER THAN 90 DAYS AFTER THE DATE OF EACH 
GENERAL, MUNICIPAL AND PRIMARY ELECTION, A COUNTY THAT RECEIVED 
A GRANT UNDER THIS SECTION SHALL REPORT TO THE DEPARTMENT, THE 
CHAIRPERSON AND MINORITY CHAIRPERSON OF THE STATE GOVERNMENT 
COMMITTEE OF THE SENATE AND THE CHAIRPERSON AND MINORITY 
CHAIRPERSON STATE GOVERNMENT COMMITTEE OF THE HOUSE OF 
REPRESENTATIVES, ON A FORM PRESCRIBED BY THE DEPARTMENT OF 
STATE, HOW THE COUNTY USED THE GRANT MONEY RECEIVED UNDER THIS SECTION.
(I)  CLAWBACK.--IF A COUNTY FAILS TO SUBSTANTIALLY COMPLY 
WITH THE REQUIREMENTS OF THIS SECTION, THE COUNTY SHALL RETURN 
THE GRANT MONEY RECEIVED TO THE DEPARTMENT FOR DEPOSIT INTO THE ACCOUNT. IF A COUNTY FAILS TO RETURN THE GRANT MONEY, THE COUNTY 
SHALL BE INELIGIBLE TO RECEIVE GRANTS THROUGH THE PROGRAM FOR A PERIOD OF ONE YEAR.
(J)  GRANT AGREEMENT.--THE GRANT AGREEMENT BETWEEN THE 
DEPARTMENT AND THE COUNTY UNDER THIS SECTION SHALL INCLUDE THE 6 FOLLOWING REQUIREMENTS FOR COUNTIES:
(1)  THE COUNTY SHALL BEGIN PRE-CANVASSING AT 7 A.M. ON 
ELECTION DAY AND SHALL CONTINUE WITHOUT INTERRUPTION UNTIL 9EACH MAIL-IN BALLOT AND ABSENTEE BALLOT RECEIVED BY 7 A.M. ON 10ELECTION DAY IS PRE-CANVASSED.
(2)  THE COUNTY SHALL BEGIN CANVASSING MAIL-IN BALLOTS 
AND ABSENTEE BALLOTS AT 8 P.M. ON ELECTION DAY AND SHALL 
CONTINUE WITHOUT INTERRUPTION UNTIL EACH BALLOT HAS BEEN 14CANVASSED.
15(3)  NO LATER THAN 12:01 A.M. ON THE DAY FOLLOWING THE 16ELECTION, THE COUNTY BOARD OF ELECTIONS SHALL ANNOUNCE AND 
17POST ON ITS PUBLICLY ACCESSIBLE INTERNET WEBSITE AN 18UNOFFICIAL NUMBER OF ABSENTEE BALLOTS AND MAIL-IN BALLOTS 19RECEIVED FOR THE ELECTION.
(4)  A COUNTY SHALL CERTIFY TO THE DEPARTMENT THAT THE 
COUNTY HAS COMPLETED A PROGRAM UNDER 25 PA.C.S. § 1901(B)(1) 
AND MAILED NOTICES REQUIRED UNDER 25 PA.C.S. § 1901(B)(3) 23WITHIN THE PRIOR 12 MONTHS.
(5)  THE OUTCOME OF ANY POST-ELECTION AUDIT REQUIRED 
UNDER THIS ACT SHALL BE SUBMITTED WITH THE CERTIFICATION TO 26THE SECRETARY OF THE COMMONWEALTH OF THE RESULTS OF THE 
PRIMARY OR GENERAL ELECTION UNDER SECTION 302(K) AND SHALL BE 
POSTED ON THE DEPARTMENT OF STATE'S PUBLICLY ACCESSIBLE INTERNET WEBSITE.
SECTION 1603-A.  COUNTY REPORT.
(A)  REPORT.--NO LATER THAN 75 DAYS AFTER THE EFFECTIVE DATE 
OF THIS SECTION, EACH COUNTY BOARD OF ELECTIONS SHALL CONDUCT AN 
INTERNAL REVIEW OF PRACTICES AND CERTIFY TO THE DEPARTMENT OF 
STATE THAT THE COUNTY IS IN COMPLIANCE WITH EACH OF THE FOLLOWING:
6(1)  APPROVAL OF VOTER REGISTRATION APPLICATIONS UNDER 25 7PA.C.S. § 1328(A) (RELATING TO APPROVAL OF VOTER REGISTRATION 8APPLICATIONS).
9(2)  CANCELLATION OF DECEASED ELECTORS UNDER 25 PA.C.S. § 101505 (RELATING TO DEATH OF REGISTRANT).
11(3)  VOTER REMOVAL PROGRAMS UNDER 25 PA.C.S. § 1901(B)(1) 12AND (3) (RELATING TO REMOVAL OF ELECTORS).
13(4)  SAFE KEEPING OF VOTED BALLOTS UNDER SECTIONS 1308(A) 14AND 1113-A.
